"Country","Code","Year","Production (tonnes)","Yield (tonnes/hectare)","prediction"
"Peru","PER",1997,19504,0.60950005,"Normal"
"Peru","PER",1998,22134,0.6363,"Normal"
"Peru","PER",1999,20964,0.60990006,"Normal"
"Peru","PER",2000,25049,0.60670006,"Normal"
"Peru","PER",2001,23652,0.51720005,"Normal"
"Peru","PER",2002,24219,0.5173,"Normal"
"Peru","PER",2003,24214,0.4864,"Normal"
"Peru","PER",2004,25921,0.5095,"Normal"
"Peru","PER",2005,25257,0.50200003,"Normal"
"Peru","PER",2006,31676,0.5583,"Normal"
"Peru","PER",2007,31387,0.5246,"Normal"
"Peru","PER",2008,34003,0.53440005,"Normal"
"Peru","PER",2009,36803,0.55480003,"Normal"
"Peru","PER",2010,46613,0.6039001,"Normal"
"Peru","PER",2011,56499,0.67120004,"Normal"
"Peru","PER",2012,62491.58,0.744,"Normal"
"Peru","PER",2013,71175.41,0.7288,"Normal"
"Peru","PER",2014,81651,0.76570004,"Normal"
"Peru","PER",2015,92592,0.7692,"Normal"
"Peru","PER",2016,107921.51,0.8594001,"Normal"
"Peru","PER",2017,121814,0.827,"Normal"
"Peru","PER",2018,134675.73,0.83950007,"Normal"
"Peru","PER",2019,141775.25,0.83390003,"Normal"
"Peru","PER",2020,158943.58,0.89460003,"Normal"
"Peru","PER",2021,160521.55,0.87720007,"Normal"
"Peru","PER",2022,172058.33,0.90230006,"Normal"
"Peru","PER",2023,166708.8,0.84120005,"Normal"
"Philippines","PHL",1961,3200,0.354,"Normal"
"Philippines","PHL",1962,3400,0.34910002,"Normal"
"Philippines","PHL",1963,3500,0.38170004,"Normal"
"Philippines","PHL",1964,4180,0.43410003,"Normal"
"Philippines","PHL",1965,4011,0.42720002,"Normal"
"Philippines","PHL",1966,4000,0.4255,"Normal"
"Philippines","PHL",1967,3500,0.39770004,"Normal"
"Philippines","PHL",1968,4100,0.44470003,"Normal"
"Philippines","PHL",1969,4400,0.4783,"Normal"
"Philippines","PHL",1970,4300,0.5119,"Normal"
"Philippines","PHL",1971,3600,0.48650002,"Normal"
"Philippines","PHL",1972,3500,0.50720006,"Normal"
"Philippines","PHL",1973,3600,0.507,"Normal"
"Philippines","PHL",1974,4100,0.5942,"Normal"
"Philippines","PHL",1975,3313,0.5043,"Normal"
"Philippines","PHL",1976,3200,0.79800004,"Normal"
"Philippines","PHL",1977,2944,0.6542,"Normal"
"Philippines","PHL",1978,3082,0.74270004,"Normal"
"Philippines","PHL",1979,3827,0.8504001,"Normal"
"Philippines","PHL",1980,4141,0.8848,"Normal"
"Philippines","PHL",1981,4125,0.55740005,"Normal"
"Philippines","PHL",1982,5348,0.49060002,"Normal"
"Philippines","PHL",1983,5473,0.48410004,"Normal"
"Philippines","PHL",1984,4834,0.41670004,"Normal"
"Philippines","PHL",1985,6066,0.40710002,"Normal"
"Philippines","PHL",1986,6642,0.42170003,"Normal"
"Philippines","PHL",1987,8848,0.50600004,"Normal"
"Philippines","PHL",1988,9092,0.51240003,"Normal"
"Philippines","PHL",1989,9364,0.5141,"Normal"
"Philippines","PHL",1990,9848,0.53590006,"Normal"
"Philippines","PHL",1991,9584,0.5544,"Normal"
"Philippines","PHL",1992,7537,0.4489,"Normal"
"Philippines","PHL",1993,7707,0.4589,"Normal"
"Philippines","PHL",1994,7945,0.49210003,"Normal"
"Philippines","PHL",1995,7927,0.48830003,"Normal"
"Philippines","PHL",1996,7895,0.49780002,"Normal"
"Philippines","PHL",1997,7844,0.5177,"Normal"
"Philippines","PHL",1998,7387,0.4938,"Normal"
"Philippines","PHL",1999,7667,0.5105,"Normal"
"Philippines","PHL",2000,6628,0.5488,"Normal"
"Philippines","PHL",2001,6531,0.54440004,"Normal"
"Philippines","PHL",2002,5803,0.50350004,"Normal"
"Philippines","PHL",2003,5693,0.5249001,"Normal"
"Philippines","PHL",2004,5648,0.5208,"Normal"
"Philippines","PHL",2005,5679,0.5298,"Normal"
"Philippines","PHL",2006,5415,0.523,"Normal"
"Philippines","PHL",2007,5237,0.5245,"Normal"
"Philippines","PHL",2008,5149,0.528,"Normal"
"Philippines","PHL",2009,5134,0.53830004,"Normal"
"Philippines","PHL",2010,5019,0.53040004,"Normal"
"Philippines","PHL",2011,4856,0.5068,"Normal"
"Philippines","PHL",2012,4831,0.5173,"Normal"
"Philippines","PHL",2013,4876,0.517,"Normal"
"Philippines","PHL",2014,5427.66,0.45100003,"Normal"
"Philippines","PHL",2015,6023,0.43300003,"Normal"
"Philippines","PHL",2016,6262.77,0.42270002,"Normal"
"Philippines","PHL",2017,7009.1,0.3838,"Normal"
"Philippines","PHL",2018,7983.2,0.29420003,"Normal"
"Philippines","PHL",2019,8488.6,0.2806,"Normal"
"Philippines","PHL",2020,9340.74,0.2984,"Normal"
"Philippines","PHL",2021,10000.07,0.31750003,"Normal"
"Philippines","PHL",2022,10446.07,0.32410002,"Normal"
"Philippines","PHL",2023,10759.12,0.32660002,"Normal"
"Polynesia","OWID_PYA",1961,4300,0.483,"Normal"
"Polynesia","OWID_PYA",1962,5065,0.41720003,"Normal"
"Polynesia","OWID_PYA",1963,5100,0.5041,"Normal"
"Polynesia","OWID_PYA",1964,5100,0.5041,"Normal"
"Polynesia","OWID_PYA",1965,2300,0.3833,"Normal"
"Polynesia","OWID_PYA",1966,2900,0.3625,"Normal"
"Polynesia","OWID_PYA",1967,3300,0.41250002,"Normal"
"Polynesia","OWID_PYA",1968,2750,0.3883,"Normal"
"Polynesia","OWID_PYA",1969,3200,0.49120003,"Normal"
"Polynesia","OWID_PYA",1970,2600,0.3714,"Normal"
"Polynesia","OWID_PYA",1971,3100,0.42560002,"Normal"
"Polynesia","OWID_PYA",1972,1700,0.34,"Normal"
"Polynesia","OWID_PYA",1973,1400,0.28,"Normal"
"Polynesia","OWID_PYA",1974,1600,0.3019,"Normal"
"Polynesia","OWID_PYA",1975,1600,0.32000002,"Normal"
"Polynesia","OWID_PYA",1976,1500,0.3,"Normal"
"Polynesia","OWID_PYA",1977,2200,0.44000003,"Normal"
